Country Name,Continent,Regions,Capital,Country2,Overseas Territory,,
Afghanistan,Asia,Central Asia,Kabul,Afghanistan,,,
Albania,Europe,Southern Europe or Mediterranean Europe ,Tirana,Albania,,,
Algeria,Africa,North Africa or Northern Africa,Algiers,Algeria,,,
American Samoa,Australia / Oceania,Polynesia,Pago Pago,American Samoa,,,
Andorra,Europe,Southern Europe or Mediterranean Europe ,Andorra la Vella,Andorra,,,
Angola,Africa,Central Africa (Middle Africa or Equatorial Africa),Luanda,Angola,,,
Anguilla,The Americas,Caribbean,The Valley,Anguilla (UK),UK,,
Antigua and Barbuda,The Americas,Caribbean,Saint John's,Antigua and Barbuda,,,
Argentina,The Americas,South America,Buenos Aires,Argentina,,,
Armenia,Asia,Western Asia,Yerevan,Armenia,,,
Aruba,The Americas,Caribbean,Oranjestad,Aruba (NL),NL,,
Australia,Australia / Oceania,Australasia,Canberra,Australia,,,
Austria,Europe,Western Europe ,Vienna (Wien),Austria,,,
Azerbaijan,Asia,Western Asia,Baku,Azerbaijan,,,
Bahamas (the),The Americas,Caribbean,Nassau,Bahamas,,,
Bahrain,Asia,Western Asia,Manama,Bahrain,,,
Bangladesh,Asia,South Asia or Southern Asia,Dhaka,Bangladesh,,,
Barbados,The Americas,Caribbean,Bridgetown,Barbados,,,
Belarus,Europe,Eastern Europe,Minsk,Belarus,,,
Belgium,Europe,Western Europe ,Brussels,Belgium,,,
Belize,The Americas,Central America,Belmopan,Belize,,,
Benin,Africa,West Africa,"Porto-Novo, Cotonou",Benin,,,
Bermuda,The Americas,Caribbean,Hamilton,Bermuda (UK),UK,,
Bhutan,Asia,South Asia or Southern Asia,Thimphu,Bhutan,,,
Bolivia (Plurinational State of),The Americas,South America,"La Paz, Sucre",Bolivia,,,
Bosnia and Herzegovina,Europe,Southern Europe or Mediterranean Europe ,Sarajevo,Bosnia & Herzegovina,,,
Botswana,Africa,Southern Africa,Gaborone,Botswana,,,
Brazil,The Americas,South America,Brasilia - São Paulo,Brazil,,,
Virgin Islands (British),The Americas,Caribbean,Road Town,British Virgin Islands (UK),UK,,
Brunei Darussalam,Asia,Southeast Asia,Bandar Seri Begawan,Brunei Darussalam,,,
Bulgaria,Europe,Eastern Europe,Sofia,Bulgaria,,,
Burkina Faso,Africa,West Africa,Ouagadougou,Burkina Faso,,,
Burundi,Africa,East Africa,Bujumbura,Burundi,,,
Cambodia,Asia,Southeast Asia,Phnom Penh,Cambodia,,,
Cameroon,Africa,Central Africa (Middle Africa or Equatorial Africa),Yaounde,Cameroon,,,
Canada,The Americas,North America,Ottawa - Toronto,Canada,,,
Cabo Verde,Africa,West Africa,Praia,Cape Verde,,,
